"id","name","known_for","country","latitude","longitude","created_at","updated_at","airport_code","gmt","city_iata_code","country_iso2","airport_name","country_name","timezone"
8517,Aachen/Merzbruck,,Germany,50.75,6.133333,2021-03-04 22:16:21,2021-03-04 22:16:21,AAH,"1",AAH,DE,Aachen/Merzbruck,Germany,Europe/Berlin
8518,Aalborg,,Denmark,57.08655,9.872241,2021-03-04 22:16:21,2021-03-04 22:16:21,AAL,"1",AAL,DK,Aalborg,Denmark,Europe/Copenhagen
8519,Anapa,,Russia,44.9,37.316666,2021-03-04 22:16:21,2021-03-04 22:16:21,AAQ,"3",AAQ,RU,Anapa,Russia,Europe/Moscow
8520,Aarhus Airport,,Denmark,56.30823,10.626351,2021-03-04 22:16:21,2021-03-04 22:16:21,AAR,"1",AAR,DK,Aarhus Airport,Denmark,Europe/Copenhagen
8521,Los Llanos,,Spain,38.948334,-1.863333,2021-03-04 22:16:21,2021-03-04 22:16:21,ABC,"1",ABC,ES,Los Llanos,Spain,Europe/Madrid
8522,Dyce,,United Kingdom,57.200253,-2.204186,2021-03-04 22:16:21,2021-03-04 22:16:21,ABZ,,ABZ,GB,Dyce,United Kingdom,Europe/London
8523,Altenrhein,,Switzerland,47.483334,9.566667,2021-03-04 22:16:21,2021-03-04 22:16:21,ACH,"1",ACH,CH,Altenrhein,Switzerland,Europe/Zurich
8524,The Blaye,,Guernsey,49.709347,-2.215369,2021-03-04 22:16:21,2021-03-04 22:16:21,ACI,,ACI,GG,The Blaye,Guernsey,Europe/Guernsey
8525,Adana,,Turkey,36.98503,35.29736,2021-03-04 22:16:21,2021-03-04 22:16:21,ADA,"3",ADA,TR,Adana,Turkey,Europe/Istanbul
8526,Adnan Menderes Airport,,Turkey,38.294403,27.147594,2021-03-04 22:16:21,2021-03-04 22:16:21,ADB,"3",IZM,TR,Adnan Menderes Airport,Turkey,Europe/Istanbul
8527,Adiyaman,,Turkey,37.75,38.266666,2021-03-04 22:16:21,2021-03-04 22:16:21,ADF,"3",ADF,TR,Adiyaman,Turkey,Europe/Istanbul
8528,Leuchars,,United Kingdom,56.36667,-2.866667,2021-03-04 22:16:21,2021-03-04 22:16:21,ADX,,ADX,GB,Leuchars,United Kingdom,Europe/London
8529,Sochi/Adler International Airport,,Russia,43.44884,39.941105,2021-03-04 22:16:21,2021-03-04 22:16:21,AER,"3",AER,RU,Sochi/Adler International Airport,Russia,Europe/Moscow
8530,Vigra,,Norway,62.559643,6.116605,2021-03-04 22:16:21,2021-03-04 22:16:21,AES,"1",AES,NO,Vigra,Norway,Europe/Oslo
